sector,stock_count,exact_count,exact_pct,within_10_count,within_10_pct,within_25_count,within_25_pct,rest_count,rest_pct,cumulative_within_25_pct,avg_deviation_pct,spearman_correlation,size_category
"Trading",312,0,0,57,18.27,74,23.72,181,58.01,41.99,34.51,-0.113,Large
"Textiles",228,0,0,48,21.05,55,24.12,125,54.82,45.18,32.98,-0.085,Large
"IT - Software",192,0,0,33,17.19,47,24.48,112,58.33,41.67,34.21,-0.097,Large
"Finance",179,2,1.12,40,22.35,49,27.37,88,49.16,50.84,28.46,0.168,Large
"Pharmaceuticals",167,2,1.2,28,16.77,40,23.95,97,58.08,41.92,33.04,0.032,Large
"Chemicals",161,0,0,38,23.6,37,22.98,86,53.42,46.58,30.93,0.089,Large
"Realty",147,2,1.36,22,14.97,31,21.09,92,62.59,37.41,35.23,-0.125,Large
"Miscellaneous",123,1,0.81,23,18.7,29,23.58,70,56.91,43.09,34.5,-0.1,Large
"FMCG",120,0,0,22,18.33,34,28.33,64,53.33,46.67,32.33,0.054,Large
"Steel",99,3,3.03,14,14.14,21,21.21,61,61.62,38.38,34.45,-0.033,Large
"Capital Goods-Non Electrical Equipment",97,0,0,13,13.4,23,23.71,61,62.89,37.11,36.61,-0.133,Large
"Auto Ancillaries",96,1,1.04,28,29.17,25,26.04,42,43.75,56.25,25.46,0.331,Large
"Infrastructure Developers & Operators",84,2,2.38,15,17.86,22,26.19,45,53.57,46.43,31.58,0.076,Large
"Packaging",65,0,0,15,23.08,19,29.23,31,47.69,52.31,29.09,0.095,Large
"Hotels & Restaurants",61,2,3.28,14,22.95,18,29.51,27,44.26,55.74,30.66,0.026,Large
"Entertainment",60,0,0,13,21.67,22,36.67,25,41.67,58.33,30,0.072,Large
"Plastic products",60,0,0,9,15,19,31.67,32,53.33,46.67,32.33,0.036,Large
"Consumer Durables",60,0,0,9,15,14,23.33,37,61.67,38.33,34.42,-0.054,Large
"Healthcare",58,3,5.17,6,10.34,10,17.24,39,67.24,32.76,38.64,-0.321,Large
"Capital Goods - Electrical Equipment",57,0,0,15,26.32,19,33.33,23,40.35,59.65,26.41,0.293,Large
"Diamond, Gems and Jewellery",53,1,1.89,11,20.75,14,26.42,27,50.94,49.06,30.9,0.109,Large
"Retail",50,0,0,9,18,14,28,27,54,46,32.76,-0.007,Large
"Construction",45,1,2.22,7,15.56,10,22.22,27,60,40,35.31,-0.117,Medium
"Castings, Forgings & Fastners",41,0,0,7,17.07,12,29.27,22,53.66,46.34,31.05,0.155,Medium
"Logistics",39,0,0,8,20.51,8,20.51,23,58.97,41.03,30.51,0.207,Medium
"Paper",34,0,0,7,20.59,9,26.47,18,52.94,47.06,32.87,0.011,Medium
"Sugar",34,2,5.88,6,17.65,5,14.71,21,61.76,38.24,35.29,-0.125,Medium
"Stock/ Commodity Brokers",34,2,5.88,4,11.76,10,29.41,18,52.94,47.06,33.56,-0.039,Medium
"Diversified",32,0,0,6,18.75,10,31.25,16,50,50,30.27,0.191,Medium
"Power Generation & Distribution",32,2,6.25,9,28.13,9,28.13,12,37.5,62.5,22.66,0.476,Medium
"Plantation & Plantation Products",31,1,3.23,7,22.58,5,16.13,18,58.06,41.94,34.55,-0.125,Medium
"Cement",30,0,0,9,30,8,26.67,13,43.33,56.67,27.22,0.285,Medium
"Non Ferrous Metals",27,0,0,3,11.11,13,48.15,11,40.74,59.26,29.63,0.159,Medium
"Aerospace & Defence",27,1,3.7,1,3.7,10,37.04,15,55.56,44.44,31.55,0.154,Medium
"Agro Chemicals",24,2,8.33,8,33.33,1,4.17,13,54.17,45.83,25.69,0.319,Medium
"E-Commerce/App based Aggregator",21,1,4.76,4,19.05,3,14.29,13,61.9,38.1,37.64,-0.248,Medium
"Alcoholic Beverages",20,0,0,7,35,6,30,7,35,65,24,0.484,Medium
"Mining & Mineral products",20,1,5,4,20,5,25,10,50,50,32,0.158,Medium
"Automobile",19,1,5.26,6,31.58,7,36.84,5,26.32,73.68,24.38,0.256,Medium
"Leather",19,1,5.26,1,5.26,5,26.32,12,63.16,36.84,33.24,-0.007,Medium
"Fertilizers",17,4,23.53,6,35.29,4,23.53,3,17.65,82.35,11.07,0.855,Medium
"Education",17,0,0,2,11.76,7,41.18,8,47.06,52.94,29.76,0.255,Medium
"Cables",17,1,5.88,3,17.65,6,35.29,7,41.18,58.82,29.07,0.115,Medium
"Edible Oil",17,1,5.88,4,23.53,3,17.65,9,52.94,47.06,35.29,-0.216,Medium
"Media - Print/Television/Radio",16,1,6.25,2,12.5,5,31.25,8,50,50,32.81,0.018,Medium
"Readymade Garments/ Apparells",15,0,0,3,20,2,13.33,10,66.67,33.33,40,-0.346,Medium
"Engineering",13,0,0,4,30.77,3,23.08,6,46.15,53.85,26.04,0.412,Medium
"Telecom Equipment & Infra Services",12,2,16.67,1,8.33,1,8.33,8,66.67,33.33,37.5,-0.224,Medium
"Printing & Stationery",12,3,25,3,25,3,25,3,25,75,20.83,0.49,Medium
"Plywood Boards/Laminates",12,0,0,6,50,1,8.33,5,41.67,58.33,29.86,-0.115,Medium
"Telecom-Service",12,0,0,0,0,4,33.33,8,66.67,33.33,43.06,-0.343,Medium
"Bearings",10,1,10,1,10,3,30,5,50,50,30,0.273,Medium
"Petrochemicals",10,0,0,1,10,1,10,8,80,20,38,-0.139,Medium
"Electronics",9,1,11.11,0,0,4,44.44,4,44.44,55.56,27.16,0.333,Small
"Tyres",9,1,11.11,0,0,3,33.33,5,55.56,44.44,27.16,0.35,Small
"Shipping",9,1,11.11,0,0,3,33.33,5,55.56,44.44,32.1,0.067,Small
"Glass & Glass Products",8,0,0,0,0,3,37.5,5,62.5,37.5,40.63,-0.214,Small
"Refractories",8,0,0,0,0,4,50,4,50,50,28.13,0.452,Small
"Ferro Alloys",8,1,12.5,0,0,4,50,3,37.5,62.5,34.38,-0.071,Small
"Paints/Varnish",7,1,14.29,0,0,4,57.14,2,28.57,71.43,24.49,0.321,Small
"Gas Distribution",7,1,14.29,0,0,3,42.86,3,42.86,57.14,24.49,0.464,Small
"Refineries",7,1,14.29,0,0,4,57.14,2,28.57,71.43,24.49,0.321,Small
"IT - Hardware",7,1,14.29,0,0,0,0,6,85.71,14.29,32.65,0.214,Small
"Quick Service Restaurant",7,2,28.57,0,0,1,14.29,4,57.14,42.86,32.65,-0.179,Small
"Crude Oil & Natural Gas",7,1,14.29,0,0,1,14.29,5,71.43,28.57,32.65,-0.036,Small
"Ceramic Products",7,0,0,0,0,0,0,7,100,0,48.98,-0.643,Small
"Tobacco Products",7,0,0,0,0,3,42.86,4,57.14,42.86,44.9,-0.679,Small
"Cement - Products",7,1,14.29,0,0,1,14.29,5,71.43,28.57,32.65,0.143,Small
"Ship Building",6,1,16.67,0,0,3,50,2,33.33,66.67,27.78,0.2,Small
"Computer Education",6,2,33.33,0,0,1,16.67,3,50,50,22.22,0.486,Small
"Infrastructure Investment Trusts",5,1,20,0,0,1,20,3,60,40,32,0.1,Small
"Financial Services",4,0,0,0,0,2,50,2,50,50,50,N/A,Tiny
"Air Transport Service",4,0,0,0,0,1,25,3,75,25,50,N/A,Tiny
"Credit Rating Agencies",3,1,33.33,0,0,0,0,2,66.67,33.33,44.44,N/A,Tiny
"Real Estate Investment Trusts",3,1,33.33,0,0,0,0,2,66.67,33.33,22.22,N/A,Tiny
"Insurance",3,3,100,0,0,0,0,0,0,100,0,N/A,Tiny
"Dry cells",3,3,100,0,0,0,0,0,0,100,0,N/A,Tiny
"Oil Drill/Allied",2,0,0,0,0,0,0,2,100,0,50,N/A,Tiny
"Marine Port & Services",2,0,0,0,0,0,0,2,100,0,50,N/A,Tiny
"Railways",1,1,100,0,0,0,0,0,0,100,0,N/A,Tiny
"Power Infrastructure",1,1,100,0,0,0,0,0,0,100,0,N/A,Tiny
"Telecom-Handsets/Mobile",1,1,100,0,0,0,0,0,0,100,0,N/A,Tiny