sector,stock_count,stock_name,symbol,overall_score,score_rank,return_pct,return_rank,rank_diff,deviation_pct,bucket
"Aerospace & Defence",3,"Hindustan Aeronautics Ltd",HAL,67.12,1,129.43,2,1,33.33,"Rest"
"Aerospace & Defence",3,"Bharat Electronics Ltd",BEL,61.69,2,156.91,1,1,33.33,"Rest"
"Aerospace & Defence",3,"Solar Industries India Ltd",SOLARINDS,60.93,3,129.11,3,0,0,"Exact"
"Air Transport Service",1,"Interglobe Aviation Ltd",INDIGO,56.66,1,140.05,1,0,0,"Exact"
"Auto Ancillaries",1,"Samvardhana Motherson International Ltd",MOTHERSON,61.31,1,-1.24,1,0,0,"Exact"
"Automobile",8,"Bajaj Auto Ltd",BAJAJ-AUTO,73.22,1,111.76,1,0,0,"Exact"
"Automobile",8,"Mahindra & Mahindra Ltd",M&M,68.24,2,103.78,3,1,12.5,"Within 25%"
"Automobile",8,"Hero MotoCorp Ltd",HEROMOTOCO,67.39,3,49.54,5,2,25,"Within 25%"
"Automobile",8,"TVS Motor Company Ltd",TVSMOTOR,65.44,4,107.92,2,2,25,"Within 25%"
"Automobile",8,"Eicher Motors Ltd",EICHERMOT,63.86,5,52.64,4,1,12.5,"Within 25%"
"Automobile",8,"Maruti Suzuki India Ltd",MARUTI,57.58,6,38.89,8,2,25,"Within 25%"
"Automobile",8,"Ashok Leyland Ltd",ASHOKLEY,52.83,7,46.79,6,1,12.5,"Within 25%"
"Automobile",8,"Tata Motors Passenger Vehicles Ltd",TMPV,48.75,8,45.01,7,1,12.5,"Within 25%"
"Cables",1,"Polycab India Ltd",POLYCAB,59.38,1,53.57,1,0,0,"Exact"
"Capital Goods - Electrical Equipment",4,"ABB India Ltd",ABB,69.13,1,48.27,3,2,50,"Rest"
"Capital Goods - Electrical Equipment",4,"Hitachi Energy India Ltd",POWERINDIA,63.45,2,237.85,1,1,25,"Within 25%"
"Capital Goods - Electrical Equipment",4,"CG Power & Industrial Solutions Ltd",CGPOWER,53.64,3,90.39,2,1,25,"Within 25%"
"Capital Goods - Electrical Equipment",4,"Siemens Ltd",SIEMENS,48.45,4,46.15,4,0,0,"Exact"
"Capital Goods-Non Electrical Equipment",1,"Cummins India Ltd",CUMMINSIND,66.58,1,69.9,1,0,0,"Exact"
"Cement",2,"UltraTech Cement Ltd",ULTRACEMCO,65.70,1,40.36,1,0,0,"Exact"
"Cement",2,"Ambuja Cements Ltd",AMBUJACEM,58.50,2,18.66,2,0,0,"Exact"
"Chemicals",1,"Pidilite Industries Ltd",PIDILITIND,68.80,1,14.63,1,0,0,"Exact"
"Crude Oil & Natural Gas",1,"Oil & Natural Gas Corpn Ltd",ONGC,63.86,1,46.03,1,0,0,"Exact"
"Diamond, Gems and Jewellery",1,"Titan Company Ltd",TITAN,59.94,1,28.43,1,0,0,"Exact"
"Finance",2,"Cholamandalam Investment & Finance Company Ltd",CHOLAFIN,68.32,1,86.72,2,1,50,"Rest"
"Finance",2,"Indian Railway Finance Corporation Ltd",IRFC,44.42,2,298.65,1,1,50,"Rest"
"FMCG",5,"Nestle India Ltd",NESTLEIND,65.01,1,18.68,2,1,20,"Within 25%"
"FMCG",5,"Godrej Consumer Products Ltd",GODREJCP,64.68,2,8.58,3,1,20,"Within 25%"
"FMCG",5,"Varun Beverages Ltd",VBL,61.93,3,60.49,1,2,40,"Rest"
"FMCG",5,"Hindustan Unilever Ltd",HINDUNILVR,60.26,4,-11.36,5,1,20,"Within 25%"
"FMCG",5,"Britannia Industries Ltd",BRITANNIA,58.41,5,4.16,4,1,20,"Within 25%"
"Healthcare",1,"Apollo Hospitals Enterprise Ltd",APOLLOHOSP,66.81,1,37.3,1,0,0,"Exact"
"Infrastructure Developers & Operators",1,"Larsen & Toubro Ltd",LT,68.00,1,47.02,1,0,0,"Exact"
"Insurance",2,"SBI Life Insurance Company Ltd",SBILIFE,65.43,1,26.68,1,0,0,"Exact"
"Insurance",2,"HDFC Life Insurance Company Ltd",HDFCLIFE,63.99,2,24.2,2,0,0,"Exact"
"IT - Software",6,"Wipro Ltd",WIPRO,74.58,1,42.22,1,0,0,"Exact"
"IT - Software",6,"Tech Mahindra Ltd",TECHM,72.14,2,37.11,3,1,16.67,"Within 25%"
"IT - Software",6,"Tata Consultancy Services Ltd",TCS,66.06,3,4.22,5,2,33.33,"Rest"
"IT - Software",6,"LTIMindtree Ltd",LTM,65.64,4,-0.94,6,2,33.33,"Rest"
"IT - Software",6,"Infosys Ltd",INFY,64.33,5,14.09,4,1,16.67,"Within 25%"
"IT - Software",6,"HCL Technologies Ltd",HCLTECH,61.92,6,40.76,2,4,66.67,"Rest"
"Marine Port & Services",1,"Adani Ports & Special Economic Zone Ltd",ADANIPORTS,62.48,1,56.2,1,0,0,"Exact"
"Mining & Mineral products",2,"Vedanta Ltd",VEDL,69.17,1,36.47,2,1,50,"Rest"
"Mining & Mineral products",2,"Coal India Ltd",COALINDIA,68.22,2,65.66,1,1,50,"Rest"
"Non Ferrous Metals",2,"Hindustan Zinc Ltd",HINDZINC,73.69,1,25.36,2,1,50,"Rest"
"Non Ferrous Metals",2,"Hindalco Industries Ltd",HINDALCO,66.99,2,52.16,1,1,50,"Rest"
"Paints/Varnish",1,"Asian Paints Ltd",ASIANPAINT,56.86,1,-22.95,1,0,0,"Exact"
"Pharmaceuticals",6,"Divis Laboratories Ltd",DIVISLAB,82.69,1,92.26,3,2,33.33,"Rest"
"Pharmaceuticals",6,"Torrent Pharmaceuticals Ltd",TORNTPHARM,71.03,2,97.43,2,0,0,"Exact"
"Pharmaceuticals",6,"Cipla Ltd",CIPLA,67.53,3,60.19,5,2,33.33,"Rest"
"Pharmaceuticals",6,"Dr Reddys Laboratories Ltd",DRREDDY,67.04,4,25.79,6,2,33.33,"Rest"
"Pharmaceuticals",6,"Lupin Ltd",LUPIN,65.54,5,187.34,1,4,66.67,"Rest"
"Pharmaceuticals",6,"Sun Pharmaceutical Industries Ltd",SUNPHARMA,48.21,6,64.78,4,2,33.33,"Rest"
"Plantation & Plantation Products",1,"Tata Consumer Products Ltd",TATACONSUM,67.70,1,37.45,1,0,0,"Exact"
"Power Generation & Distribution",4,"Power Grid Corporation of India Ltd",POWERGRID,63.06,1,50.59,4,3,75,"Rest"
"Power Generation & Distribution",4,"NTPC Ltd",NTPC,60.86,2,80.45,2,0,0,"Exact"
"Power Generation & Distribution",4,"Tata Power Company Ltd",TATAPOWER,48.36,3,63.27,3,0,0,"Exact"
"Power Generation & Distribution",4,"Adani Power Ltd",ADANIPOWER,45.61,4,182.9,1,3,75,"Rest"
"Realty",1,"DLF Ltd",DLF,43.54,1,76.42,1,0,0,"Exact"
"Refineries",3,"Bharat Petroleum Corporation Ltd",BPCL,67.97,1,47.67,1,0,0,"Exact"
"Refineries",3,"Indian Oil Corporation Ltd",IOC,64.05,2,45.13,2,0,0,"Exact"
"Refineries",3,"Reliance Industries Ltd",RELIANCE,57.53,3,10.83,3,0,0,"Exact"
"Retail",2,"Avenue Supermarts Ltd",DMART,73.68,1,-1.71,2,1,50,"Rest"
"Retail",2,"Trent Ltd",TRENT,60.05,2,271.79,1,1,50,"Rest"
"Steel",3,"JSW Steel Ltd",JSWSTEEL,68.13,1,39.34,2,1,33.33,"Rest"
"Steel",3,"Jindal Steel Ltd",JINDALSTEL,66.11,2,45.34,1,1,33.33,"Rest"
"Steel",3,"Tata Steel Ltd",TATASTEEL,59.91,3,28.22,3,0,0,"Exact"
"Telecom Equipment & Infra Services",1,"Indus Towers Ltd",INDUSTOWER,79.15,1,93.62,1,0,0,"Exact"
"Telecom-Service",1,"Bharti Airtel Ltd",BHARTIARTL,60.14,1,105.42,1,0,0,"Exact"
"Textiles",1,"Grasim Industries Ltd",GRASIM,55.51,1,45.08,1,0,0,"Exact"
"Tobacco Products",1,"ITC Ltd",ITC,56.53,1,8.47,1,0,0,"Exact"