sector,stock_count,exact_pct,within_10_pct,within_25_pct,rest_pct,cumulative_within_25_pct,avg_deviation_pct,spearman_correlation
"Automobile",8,12.5,0,87.5,0,100,15.63,0.810
"Pharmaceuticals",6,16.67,0,0,83.33,16.67,33.33,0.086
"IT - Software",6,16.67,0,33.33,50,50,27.78,0.257
"FMCG",5,0,0,80,20,80,24,0.600
"Capital Goods - Electrical Equipment",4,25,0,50,25,75,25,0.400
"Power Generation & Distribution",4,50,0,0,50,50,37.5,-0.800
"Steel",3,33.33,0,0,66.67,33.33,22.22,0.500
"Refineries",3,100,0,0,0,100,0,1.000
"Aerospace & Defence",3,33.33,0,0,66.67,33.33,22.22,0.500
"Non Ferrous Metals",2,0,0,0,100,0,50,N/A
"Retail",2,0,0,0,100,0,50,N/A
"Mining & Mineral products",2,0,0,0,100,0,50,N/A
"Finance",2,0,0,0,100,0,50,N/A
"Cement",2,100,0,0,0,100,0,N/A
"Insurance",2,100,0,0,0,100,0,N/A
"Telecom Equipment & Infra Services",1,100,0,0,0,100,0,N/A
"Chemicals",1,100,0,0,0,100,0,N/A
"Infrastructure Developers & Operators",1,100,0,0,0,100,0,N/A
"Plantation & Plantation Products",1,100,0,0,0,100,0,N/A
"Healthcare",1,100,0,0,0,100,0,N/A
"Capital Goods-Non Electrical Equipment",1,100,0,0,0,100,0,N/A
"Crude Oil & Natural Gas",1,100,0,0,0,100,0,N/A
"Marine Port & Services",1,100,0,0,0,100,0,N/A
"Auto Ancillaries",1,100,0,0,0,100,0,N/A
"Telecom-Service",1,100,0,0,0,100,0,N/A
"Diamond, Gems and Jewellery",1,100,0,0,0,100,0,N/A
"Cables",1,100,0,0,0,100,0,N/A
"Paints/Varnish",1,100,0,0,0,100,0,N/A
"Air Transport Service",1,100,0,0,0,100,0,N/A
"Tobacco Products",1,100,0,0,0,100,0,N/A
"Textiles",1,100,0,0,0,100,0,N/A
"Realty",1,100,0,0,0,100,0,N/A